RecipeID,Description,Status,Release,Comments,Approved,Approved By,Recipe Request,Request Single Recipe,Request Recipe Range
0,You make an acid infusion.,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
1,Lightning Infusion,Finished,Retail,"http://acpedia.org/wiki/Lightning_Infusion
https://asheron.fandom.com/wiki/Lightning_Infusion",TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
2,Frost Infusion,Finished,Retail,"http://acpedia.org/wiki/Frost_Infusion
https://asheron.fandom.com/wiki/Frost_Infusion",TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
3,Mana Infusion,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
4,Bloodseeker Infusion,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
5,Victual Infusion,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
6,Fire Infusion,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
7,Health Infusion,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
8,Acid Oil,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
9,Bloodseeker Oil,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
10,Fire Oil,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
11,Frost Oil,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
12,Health Oil,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
13,Lightning Oil,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
14,Mana Oil,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
15,Victual Oil,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
16,Health Draught,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
17,Mana Draught,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
18,Potion of Healing,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
19,Mana Potion,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
20,Trade Health Elixir,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
21,Trade Mana Elixir,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
22,Powdered Agate,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
23,Powdered Amber,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
24,Powdered Azurite,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
25,Powdered Bloodstone,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
26,Powdered Carnelian,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
27,Powdered Hematite,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
28,Powdered Lapis Lazuli,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
29,Powdered Malachite,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
30,Powdered Moonstone,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
31,Powdered Onyx,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
32,Powdered Quartz,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
33,Powdered Turquoise,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
34,Cinnamon,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
35,Hot Sauce,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
36,Slag,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
37,Cake,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
38,Cookie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
39,Bread,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
40,Cake Batter,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
41,Viamont Toast,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
42,Kimchi,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
43,Pickled Egg,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
44,Pickled Fish,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
45,Steak,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
46,Coleslaw,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
47,Chicken Piece,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
48,Fish Filet,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
49,Steak,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
50,Rabbit Piece,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
51,Chicken Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
52,Fish Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
53,Mushroom Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
54,Rabbit Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
55,Beef Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
56,Apple Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
57,Pizza,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
58,Chicken Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
59,Batter,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
60,Fish Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
61,Cookie Dough,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
62,Mushroom Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
63,Rabbit Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
64,Meat Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
65,Dough,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
66,Fried Chicken,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
67,Flat Bread,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
68,Fried Egg,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
69,Fried Fish Filet,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
70,Fried Mushroom,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
71,Fried Rabbit,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
72,Fried Steak,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
73,Healing Apple Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
74,Healing Beef Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
75,Healing Beef Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
76,Healing Cake,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
77,Healing Chicken Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
78,Healing Chicken Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
79,Healing Chicken Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
80,Healing Fish Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
81,Healing Fish Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
82,Healing Fish Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
83,Healing Meat Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
84,Healing Mushroom Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
85,Healing Mushroom Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
86,Healing Mushroom Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
87,Healing Pizza,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
88,Healing Rabbit Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
89,Healing Rabbit Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
90,Healing Rabbit Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
91,Mana Apple Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
92,Mana Beef Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
93,Mana Beef Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
94,Mana Cake,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
95,Mana Chicken Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
96,Mana Chicken Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
97,Mana Chicken Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
98,Mana Fish Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
99,Mana Fish Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
100,Mana Fish Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
101,Mana Meat Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
102,Mana Mushroom Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
