Weenie ID,Weenie String,Weenie Class Name,Release,Type,Status,Patch Name,Quest Name,Comments
0,Empty,,Retail,,,,,
1,Clay,human,Retail,Other,Finished,,,Player Template
3,Olthoi Worker,olthoiworker,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Olthoi_Worker
https://asheron.fandom.com/wiki/Olthoi_Worker"
4,Womble,admin,Retail,Other,Finished,,,Admin
5,Laigus Lugian,lugianlaigus,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Laigus_Lugian
https://asheron.fandom.com/wiki/Laigus_Lugian"
6,Banderling Scout,banderlingscout,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Banderling_Scout
https://asheron.fandom.com/wiki/Banderling_Scout"
7,Drudge Skulker,drudgeskulker,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Drudge_Stalker
https://asheron.fandom.com/wiki/Drudge_Stalker"
8,Creeper Mosswart,mosswartcreeper,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Creeper_Mosswart
https://asheron.fandom.com/wiki/Creeper_Mosswart"
10,Mite Scamp,mitescamp,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Mite_Scamp
https://asheron.fandom.com/wiki/Mite_Scamp"
11,Male Tusker,tuskermale,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Male_Tusker
https://asheron.fandom.com/wiki/Male_Tusker"
12,Red Phyntos Wasp,phyntoswaspred,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Red_Phyntos_Wasp
https://asheron.fandom.com/wiki/Red_Phyntos_Wasp"
13,White Rat,ratwhite,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/White_Rat
https://asheron.fandom.com/wiki/White_Rat"
14,Cow,cow,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Cow_(Creature)
https://asheron.fandom.com/wiki/Cow_(Creature)"
16,Undead,zombieundead,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Undead_(Creature)
https://asheron.fandom.com/wiki/Undead_(Creature)"
17,Gromnie,gromnie,Retail,Creature,In Progress,Release,,Category-no wiki link
18,Reedshark Elder,reedsharkelder,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Reedshark_Elder
https://asheron.fandom.com/wiki/Reedshark_Elder"
19,Bronze Armoredillo,armoredillobronze,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Reedshark_Elder
https://asheron.fandom.com/wiki/Reedshark_Elder"
20,Auroch Bull,aurochbull,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Auroch_Bull
https://asheron.fandom.com/wiki/Auroch_Bull"
21,Corpse,corpse,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Corpse
https://asheron.fandom.com/wiki/Corpse"
23,Virindi Servant,virindi,Retail,Creature,Finished,Release,,"http://acpedia.org/wiki/Virindi_Servant
https://asheron.fandom.com/wiki/Virindi_Servant"
35,Chainmail Basinet,basinetchainmail,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Chainmail_Basinet
https://asheron.fandom.com/wiki/Chainmail_Basinet (Broken Tooltip)
"
36,Leather Bracers,bracersleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Leather_Bracers
https://asheron.fandom.com/wiki/Leather_Bracers"
37,Scalemail Bracers,bracersscalemail,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Scalemail_Bracers
https://asheron.fandom.com/wiki/Scalemail_Bracers"
38,Studded Leather Bracers,bracersstuddedleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Studded_Leather_Bracers
https://asheron.fandom.com/wiki/Studded_Leather_Bracers"
39,Leather Breastplate,breastplateleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Leather_Breastplate
https://asheron.fandom.com/wiki/Leather_Breastplate"
40,Platemail Breastplate,breastplateplatemail,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Platemail_Breastplate
https://asheron.fandom.com/wiki/Platemail_Breastplate"
41,Scalemail Breastplate,breastplatescalemail,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Scalemail_Breastplate
https://asheron.fandom.com/wiki/Scalemail_Breastplate"
42,Studded Leather Breastplate,breastplatestuddedleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Studded_Leather_Breastplate
https://asheron.fandom.com/wiki/Studded_Leather_Breastplate"
43,Yoroi Breastplate,breastplateyoroi,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Yoroi_Breastplate
https://asheron.fandom.com/wiki/Yoroi_Breastplate"
44,Buckler,buckler,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Buckler
https://asheron.fandom.com/wiki/Buckler"
45,Leather Cap,capleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Leather_Cap
https://asheron.fandom.com/wiki/Leather_Cap"
46,Metal Cap,capmetal,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Metal_Cap
https://asheron.fandom.com/wiki/Metal_Cap"
47,Leather Coat,coatleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Leather_Coat
https://asheron.fandom.com/wiki/Leather_Coat"
48,Studded Leather Coat,coatstuddedleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Studded_Leather_Coat
https://asheron.fandom.com/wiki/Studded_Leather_Coat"
50,Leather Cuirass,cuirassleather,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Leather_Cuirass
https://asheron.fandom.com/wiki/Leather_Cuirass"
51,Platemail Cuirass,cuirassplatemail,Retail,Item,Finished,Release,,"http://acpedia.org/wiki/Platemail_Cuirass
https://asheron.fandom.com/wiki/Platemail_Cuirass"
